Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.754398;0.664361
0.975480;0.326724
-1.080181;-0.019080
-1.173297;-0.188107
-1.018427;-0.199475
-0.714653;-0.011718
-0.515803;0.126211
-0.398966;0.288789
0.978249;-1.039704
0.000000;0.000000
0.000000;-0.029821
-0.946286;0.250460
-0.622138;0.290044
0.847705;0.088486
0.934331;-0.118067
0.000000;0.009146
0.110308;-0.687376
0.110308;0.470931
0.754398;0.664361
