C;H;B
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.314534;-0.848884;0.113666
0.245844;-0.852183;0.138467
0.034373;-0.733439;0.036213
-0.022478;-0.160692;-0.022517
-0.105294;0.095628;-0.013328
-0.077996;-0.018122;0.052870
-0.010105;0.012333;0.102654
-0.025465;0.119269;-0.176696
0.270512;-0.256207;-2.094787
0.000000;0.000000;0.000000
-0.276316;0.000000;0.000000
-0.023141;-0.300830;-0.073414
0.026721;0.183920;0.075635
0.020802;0.501503;-0.050832
0.014055;0.155424;-0.198735
0.171876;0.310849;-0.006906
-0.076157;0.000000;-0.009780
0.120616;0.000000;0.156831
0.314534;-0.848884;0.113666
