60.000000;180.000000;-60.000000;Unknown;ALA;GLY
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.136966;-0.032598;0.372388;0.000000;0.297191;-0.078004
0.621829;0.330122;0.983897;0.000000;0.396144;0.053116
-0.144550;-0.225775;1.069666;0.000000;1.363226;-0.059987
-0.175906;-0.225775;0.000000;0.000000;2.330308;-0.396988
0.000000;0.000000;0.000000;0.000000;-0.905961;-0.140364
0.000000;-0.001933;0.284292;0.000000;-0.823312;-0.872776
-0.974919;-0.091192;-0.030096;-0.313113;-0.020844;-0.778876
-0.393182;-0.099443;-0.101616;-0.199260;0.050970;-0.318257
-0.093610;-0.027825;-0.153384;0.504576;0.036062;-0.047225
0.234342;0.759909;-0.078888;0.980706;-0.132595;-0.117958
0.589085;-0.399296;0.060015;0.000000;1.313779;-0.347157
1.218167;-0.231219;0.073407;0.000000;1.313779;-0.382617
0.684408;0.115821;0.009086;0.000000;-0.443692;0.012582
0.729721;-0.608879;-0.289237;0.000000;-0.443692;0.251163
0.021776;-0.157403;-0.196241;0.000000;0.861202;-0.541108
-0.181450;0.049784;-0.034948;-0.966747;0.136723;-0.024836
0.125478;0.076989;0.077350;-0.524674;0.017788;-0.215842
0.137277;0.022130;0.187292;0.801547;0.069048;-0.200376
0.136966;-0.032598;0.372388;0.000000;0.297191;-0.078004
