60.000000;180.000000;-60.000000;?;ALA;GLY
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.792223;0.194767;0.000000;0.000000;0.359809;0.000000
-0.576538;-0.056309;0.808948;0.299681;0.318474;0.000000
-0.337731;-0.007158;0.540878;0.201435;0.260314;0.000000
-0.360363;-0.079305;-0.004364;0.004943;0.185391;0.000000
-0.156611;-0.256958;-0.333879;-0.604565;0.150160;0.000000
-0.201524;-0.269178;-0.493374;-0.787366;-0.516669;0.000000
-0.542681;-0.284404;-0.558218;-0.878767;-0.650577;0.000000
-0.716251;-0.334595;-0.487925;0.000000;-0.693528;0.000000
0.000000;0.048477;-1.109802;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1.562892;0.000000;0.000000;0.000000;0.000000;0.000000
1.562892;1.190818;0.153233;0.000000;0.165192;0.000000
0.000000;1.208871;0.066622;0.000000;0.165192;0.000000
0.000000;1.263031;-0.164343;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
-0.792223;0.194767;0.000000;0.000000;0.359809;0.000000
