Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.817825;-0.323459
0.072742;-0.407778
0.053242;0.047196
-0.077625;0.051337
-0.091848;0.019390
-0.076288;0.040211
-0.112283;-0.063195
-0.091279;-0.126432
-0.537287;-0.037518
0.000000;0.000000
-0.061449;0.000000
0.045373;-0.456872
0.028371;-0.525927
-0.033036;-0.871201
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.817825;-0.323459
