Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.000000;-0.206273
0.000000;-0.014008
0.000000;-0.014156
0.000000;-0.329061
0.000000;0.794409
0.000000;0.626019
0.000000;0.031921
0.000000;-0.034412
0.000000;-0.055286
0.000000;-0.018445
0.000000;-0.083111
0.000000;0.167679
0.000000;0.607774
0.000000;0.406392
0.000000;0.087881
0.000000;0.069920
0.000000;0.053672
0.000000;-0.037309
0.000000;-0.206273
