C;H;B
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.030710;1.199104;0.827269
-0.165158;0.000000;0.915972
-0.647190;0.000000;2.369443
-0.099777;0.000000;0.000000
-0.448913;0.000000;0.000000
1.120786;0.216511;0.365000
0.718136;0.369636;0.791795
0.735324;0.326132;1.453662
0.819246;0.275782;1.480179
0.656982;0.296384;1.211150
0.329323;0.436495;1.285223
0.223519;0.722387;0.000000
-0.259351;-2.353463;-1.072129
-0.954967;-1.621103;-0.736935
-1.145012;-0.321250;-0.038696
-0.269289;0.225563;0.256723
-0.014793;1.077854;0.464914
-0.013653;1.202977;0.674007
0.030710;1.199104;0.827269
