Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.077819;0.137699
-0.190502;0.258244
-1.109401;0.256563
-0.202452;-0.131127
0.248553;-0.329361
-0.407855;-0.737330
-0.042578;-0.585004
0.035468;-0.707477
0.097756;-0.473430
0.093883;-0.280954
0.217155;-0.165824
0.217573;0.071684
0.129396;0.621995
-0.309351;0.953464
-0.110092;0.660931
-0.213755;0.371442
-0.184976;0.362871
-0.032089;0.291288
0.077819;0.137699
