Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.268095;-0.007374
-0.312457;0.038380
-0.213540;0.047661
-0.198726;0.013810
-0.248912;-0.022275
-0.208288;-0.011547
-0.202259;-0.008113
-0.278308;-0.026293
0.000000;-0.027385
0.000000;0.000000
0.000000;-0.259568
0.000000;-0.136635
-0.363632;-0.131873
-0.361299;-0.127896
-0.286054;-0.114620
-0.140230;-0.090665
0.000000;-0.059155
-0.181406;0.003645
-0.268095;-0.007374
