N;Y
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.019631;-0.074774
-0.033569;0.000000
-0.024836;0.000000
0.007278;0.000000
-0.050193;0.000000
0.021490;0.000000
0.007545;-0.009433
0.009596;-0.068147
0.012224;-0.244290
0.009539;0.000000
0.015406;0.018256
0.017937;-0.047069
0.006269;-0.079731
0.004147;0.000000
-0.028275;0.000000
-0.019479;0.048305
-0.006194;0.092085
-0.002927;0.066571
-0.019631;-0.074774
