Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.325406;0.224511
0.165682;0.046711
0.165771;0.073242
0.075928;0.010409
0.026735;-0.067415
0.103278;-0.061032
0.145426;-0.052980
0.191427;-0.034362
0.239932;0.000000
-0.053255;0.000000
0.000000;0.000000
-0.101225;-0.119809
-0.070134;-0.029665
-0.033208;-0.104296
0.106105;-0.230989
0.329977;-0.002966
0.000000;-0.305811
-0.436302;-0.305811
-0.325406;0.224511
