Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.081928;-0.211500
0.064083;-0.241429
0.063105;-0.264178
-0.009652;-0.097767
-0.035336;-0.056586
-0.019617;-0.042697
-0.046504;0.055643
-0.109989;0.181182
0.000000;-0.694125
0.000000;0.000000
-0.067759;0.000000
-0.042220;0.121392
-0.019944;0.067776
0.016810;0.089350
0.018895;0.165275
-0.142491;0.334200
-0.376564;0.000000
-0.376564;0.000000
-0.081928;-0.211500
