Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.278090;0.134302
0.110537;0.301251
0.640386;0.389839
0.429957;0.657820
-2.703685;0.925801
-0.066256;-0.347184
-0.090359;-0.405817
-0.115474;-0.339191
-0.120372;-0.281842
-0.053718;-0.334143
-0.031153;-0.215454
-0.034857;-0.128363
0.133773;-0.538744
0.576035;-0.212901
0.475089;0.160112
0.492655;0.357340
0.412373;0.270567
0.302844;0.154955
0.278090;0.134302
