C;H;B
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-0.231313;-0.201934;-0.052116
-0.306010;0.072133;-0.223402
-0.301530;0.000000;0.025822
-0.428199;0.000000;0.155430
0.533598;0.000000;0.527466
-0.605117;0.264387;0.432295
0.035974;-0.036289;0.347091
0.127519;-0.005154;0.252971
0.025175;0.048102;0.265843
0.019763;-0.070766;0.243835
0.026267;-0.202091;0.026195
-0.147349;-0.011964;-0.104557
-0.189519;-0.157696;-0.382677
-0.220823;-0.231755;0.020014
-0.084264;-0.122701;0.121510
-0.038762;-0.357352;0.049746
-0.131480;-0.434102;0.040891
-0.196658;-0.641758;0.039579
-0.231313;-0.201934;-0.052116
