Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
0.000000;0.418261
0.000000;0.384994
-0.606235;-0.044893
-0.606235;-0.073386
0.000000;0.078574
0.000000;0.146782
0.000000;0.047545
0.000000;-0.292516
0.000000;0.441867
0.000000;-0.742121
0.000000;3.790663
0.000000;-0.872708
0.000000;-0.848211
0.000000;-0.659987
0.000000;-0.680853
0.000000;0.131339
0.000000;1.528695
0.000000;0.577151
0.000000;0.418261
