60.000000;180.000000;-60.000000;?;ALA;GLY
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-2.608170;-1.257099;-1.702138;-5.272236;-1.173262;-3.067102
-2.828349;-3.918089;-1.028115;0.000000;-4.920116;-2.134589
-5.488019;-6.154856;0.000000;0.000000;-4.920116;-0.146053
0.000000;-6.154856;6.562828;0.000000;0.000000;1.884770
0.000000;0.000000;6.562828;0.000000;2.366876;0.000000
0.000000;0.920776;2.588218;0.000000;-1.479275;0.718791
2.993308;0.933986;0.848696;2.001491;-0.881726;2.634096
1.980110;1.094138;1.068954;2.001491;-0.380673;1.761468
2.592133;1.415864;1.643955;-0.219683;0.179431;1.951049
3.274740;1.015091;2.714183;1.691774;1.023278;2.466106
3.188134;1.006818;3.220726;3.603230;3.975057;2.749589
3.031850;1.211335;2.379383;0.000000;5.603814;2.452554
1.674083;2.540231;1.551590;0.000000;5.979973;-0.034144
5.553521;1.423164;0.899757;0.000000;1.484164;2.276722
1.783874;3.256584;1.073028;0.000000;-0.011376;2.496701
0.697070;3.057102;0.837253;1.223253;1.472164;1.205435
-1.156787;2.420773;-0.168017;-0.134436;0.405624;-0.704226
-2.065640;0.661167;-1.250701;-3.204724;-0.845307;-2.693250
-2.608170;-1.257099;-1.702138;-5.272236;-1.173262;-3.067102
