Y;N
-180.000000;-160.000000;-140.000000;-120.000000;-100.000000;-80.000000;-60.000000;-40.000000;-20.000000;0.000000;20.000000;40.000000;60.000000;80.000000;100.000000;120.000000;140.000000;160.000000;180.000000
-1.502656;-1.101954
-0.793128;-0.226318
0.357078;1.451431
3.938022;1.763988
1.758969;-1.328758
-1.710625;1.908841
0.099374;-0.611116
0.254526;-0.673868
0.503902;-0.254013
0.980543;0.242453
1.034458;0.352736
0.310386;0.058691
0.767289;-0.798190
0.221002;-0.678893
0.912132;0.456182
0.748733;0.851160
0.015485;0.182693
-1.009162;-0.837357
-1.502656;-1.101954
