MW	molecular weight
AMW	average molecular weight
Sv	sum of atomic van der Waals volumes (scaled on Carbon atom)
Se	sum of atomic Sanderson electronegativities (scaled on Carbon atom)
Sp	sum of atomic polarizabilities (scaled on Carbon atom)
Ss	sum of Kier-Hall electrotopological states
Mv	mean atomic van der Waals volume (scaled on Carbon atom)
Me	mean atomic Sanderson electronegativity (scaled on Carbon atom)
Mp	mean atomic polarizability (scaled on Carbon atom)
Ms	mean electrotopological state
nAT	number of atoms
nSK	number of non-H atoms
nBT	number of bonds
nBO	number of non-H bonds
nBM	number of multiple bonds
SCBO	sum of conventional bond orders (H-depleted)
ARR	aromatic ratio
nCIC	number of rings
nCIR	number of circuits
RBN	number of rotatable bonds
RBF	rotatable bond fraction
nDB	number of double bonds
nTB	number of triple bonds
nAB	number of aromatic bonds
nH	number of Hydrogen atoms
nC	number of Carbon atoms
nN	number of Nitrogen atoms
nO	number of Oxygen atoms
nP	number of Phosphorous atoms
nS	number of Sulfur atoms
nF	number of Fluorine atoms
nCL	number of Chlorine atoms
nBR	number of Bromine atoms
nI	number of Iodine atoms
nB	number of Boron atoms
nHM	number of heavy atoms
nX	number of halogen atoms
nR03	number of 3-membered rings
nR04	number of 4-membered rings
nR05	number of 5-membered rings
nR06	number of 6-membered rings
nR07	number of 7-membered rings
nR08	number of 8-membered rings
nR09	number of 9-membered rings
nR10	number of 10-membered rings
nR11	number of 11-membered rings
nR12	number of 12-membered rings
nBnz	number of benzene-like rings
ZM1	first Zagreb index M1
ZM1V	first Zagreb index by valence vertex degrees
ZM2	second Zagreb index M2
ZM2V	second Zagreb index by valence vertex degrees
Qindex	Quadratic index
SNar	Narumi simple topological index (log)
HNar	Narumi harmonic topological index
GNar	Narumi geometric topological index
Xt	Total structure connectivity index
Dz	Pogliani index
Ram	ramification index
Pol	polarity number
LPRS	log of product of row sums (PRS)
VDA	average vertex distance degree
MSD	mean square distance index (Balaban)
SMTI	Schultz Molecular Topological Index (MTI)
SMTIV	Schultz MTI by valence vertex degrees
GMTI	Gutman Molecular Topological Index
GMTIV	Gutman MTI by valence vertex degrees
Xu	Xu index
SPI	superpendentic index
W	Wiener W index
WA	mean Wiener index
Har	Harary H index
Har2	square reciprocal distance sum index
QW	quasi-Wiener index (Kirchhoff number)
TI1	first Mohar index TI1
TI2	second Mohar index TI2
STN	spanning tree number (log)
HyDp	hyper-distance-path index
RHyDp	reciprocal hyper-distance-path index
w	detour index
ww	hyper-detour index
Rww	reciprocal hyper-detour index
D/D	distance/detour index
Wap	all-path Wiener index
WhetZ	Wiener-type index from Z weighted distance matrix (Barysz matrix)
Whetm	Wiener-type index from mass weighted distance matrix
Whetv	Wiener-type index from van der Waals weighted distance matrix
Whete	Wiener-type index from electronegativity weighted distance matrix
Whetp	Wiener-type index from polarizability weighted distance matrix
J	Balaban distance connectivity index
JhetZ	Balaban-type index from Z weighted distance matrix (Barysz matrix)
Jhetm	Balaban-type index from mass weighted distance matrix
Jhetv	Balaban-type index from van der Waals weighted distance matrix
Jhete	Balaban-type index from electronegativity weighted distance matrix
Jhetp	Balaban-type index from polarizability weighted distance matrix
MAXDN	maximal electrotopological negative variation
MAXDP	maximal electrotopological positive variation
DELS	molecular electrotopological variation
TIE	E-state topological parameter
S0K	Kier symmetry index
S1K	1-path Kier alpha-modified shape index
S2K	2-path Kier alpha-modified shape index
S3K	3-path Kier alpha-modified shape index
PHI	Kier flexibility index
BLI	Kier benzene-likeliness index
PW2	path/walk 2 - Randic shape index
PW3	path/walk 3 - Randic shape index
PW4	path/walk 4 - Randic shape index
PW5	path/walk 5 - Randic shape index
PJI2	2D Petitjean shape index
CSI	eccentric connectivity index
ECC	eccentricity
AECC	average eccentricity
DECC	eccentric
MDDD	mean distance degree deviation
UNIP	unipolarity
CENT	centralization
VAR	variation
BAC	Balaban centric index
Lop	Lopping centric index
ICR	radial centric information index
D/Dr03	distance/detour ring index of order 3
D/Dr04	distance/detour ring index of order 4
D/Dr05	distance/detour ring index of order 5
D/Dr06	distance/detour ring index of order 6
D/Dr07	distance/detour ring index of order 7
D/Dr08	distance/detour ring index of order 8
D/Dr09	distance/detour ring index of order 9
D/Dr10	distance/detour ring index of order 10
D/Dr11	distance/detour ring index of order 11
D/Dr12	distance/detour ring index of order 12
T(N..N)	sum of topological distances between N..N
T(N..O)	sum of topological distances between N..O
T(N..S)	sum of topological distances between N..S
T(N..P)	sum of topological distances between N..P
T(N..F)	sum of topological distances between N..F
T(N..Cl)	sum of topological distances between N..Cl
T(N..Br)	sum of topological distances between N..Br
T(N..I)	sum of topological distances between N..I
T(O..O)	sum of topological distances between O..O
T(O..S)	sum of topological distances between O..S
T(O..P)	sum of topological distances between O..P
T(O..F)	sum of topological distances between O..F
T(O..Cl)	sum of topological distances between O..Cl
T(O..Br)	sum of topological distances between O..Br
T(O..I)	sum of topological distances between O..I
T(S..S)	sum of topological distances between S..S
T(S..P)	sum of topological distances between S..P
T(S..F)	sum of topological distances between S..F
T(S..Cl)	sum of topological distances between S..Cl
T(S..Br)	sum of topological distances between S..Br
T(S..I)	sum of topological distances between S..I
T(P..P)	sum of topological distances between P..P
T(P..F)	sum of topological distances between P..F
T(P..Cl)	sum of topological distances between P..Cl
T(P..Br)	sum of topological distances between P..Br
T(P..I)	sum of topological distances between P..I
T(F..F)	sum of topological distances between F..F
T(F..Cl)	sum of topological distances between F..Cl
T(F..Br)	sum of topological distances between F..Br
T(F..I)	sum of topological distances between F..I
T(Cl..Cl)	sum of topological distances between Cl..Cl
T(Cl..Br)	sum of topological distances between Cl..Br
T(Cl..I)	sum of topological distances between Cl..I
T(Br..Br)	sum of topological distances between Br..Br
T(Br..I)	sum of topological distances between Br..I
T(I..I)	sum of topological distances between I..I
MWC01	molecular walk count of order 01 (number of non-H bonds, nBO)
MWC02	molecular walk count of order 02
MWC03	molecular walk count of order 03
MWC04	molecular walk count of order 04
MWC05	molecular walk count of order 05
MWC06	molecular walk count of order 06
MWC07	molecular walk count of order 07
MWC08	molecular walk count of order 08
MWC09	molecular walk count of order 09
MWC10	molecular walk count of order 10
TWC	total walk count
SRW01	self-returning walk count of order 01 (number of non-H atoms, nSK)
SRW02	self-returning walk count of order 02 (twice the number of non-H bonds)
SRW03	self-returning walk count of order 03
SRW04	self-returning walk count of order 04
SRW05	self-returning walk count of order 05
SRW06	self-returning walk count of order 06
SRW07	self-returning walk count of order 07
SRW08	self-returning walk count of order 08
SRW09	self-returning walk count of order 09
SRW10	self-returning walk count of order 10
MPC01	molecular path count of order 01 (number of non-H bonds, nBO)
MPC02	molecular path count of order 02 (Gordon-Scantlebury index)
MPC03	molecular path count of order 03
MPC04	molecular path count of order 04
MPC05	molecular path count of order 05
MPC06	molecular path count of order 06
MPC07	molecular path count of order 07
MPC08	molecular path count of order 08
MPC09	molecular path count of order 09
MPC10	molecular path count of order 10
piPC01	molecular multiple path count of order 01 (sum of conventional bond orders, SCBO)
piPC02	molecular multiple path count of order 02
piPC03	molecular multiple path count of order 03
piPC04	molecular multiple path count of order 04
piPC05	molecular multiple path count of order 05
piPC06	molecular multiple path count of order 06
piPC07	molecular multiple path count of order 07
piPC08	molecular multiple path count of order 08
piPC09	molecular multiple path count of order 09
piPC10	molecular multiple path count of order 10
TPC	total path count
piID	conventional bond-order ID number
PCR	ratio of multiple path count over path count
PCD	difference between multiple path count and path count
CID	Randic ID number
BID	Balaban ID number
ISIZ	information index on molecular size
IAC	total information index of atomic composition
AAC	mean information index on atomic composition
IDE	mean information content on the distance equality
IDM	mean information content on the distance magnitude
IDDE	mean information content on the distance degree equality
IDDM	mean information content on the distance degree magnitude
IDET	total information content on the distance equality
IDMT	total information content on the distance magnitude
IVDE	mean information content on the vertex degree equality
IVDM	mean information content on the vertex degree magnitude
HVcpx	graph vertex complexity index
HDcpx	graph distance complexity index (log)
Uindex	Balaban U index
Vindex	Balaban V index
Xindex	Balaban X index
Yindex	Balaban Y index
IC0	information content index (neighborhood symmetry of 0-order)
TIC0	total information content index (neighborhood symmetry of 0-order)
SIC0	structural information content (neighborhood symmetry of 0-order)
CIC0	complementary information content (neighborhood symmetry of 0-order)
BIC0	bond information content (neighborhood symmetry of 0-order)
IC1	information content index (neighborhood symmetry of 1-order)
TIC1	total information content index (neighborhood symmetry of 1-order)
SIC1	structural information content (neighborhood symmetry of 1-order)
CIC1	complementary information content (neighborhood symmetry of 1-order)
BIC1	bond information content (neighborhood symmetry of 1-order)
IC2	information content index (neighborhood symmetry of 2-order)
TIC2	total information content index (neighborhood symmetry of 2-order)
SIC2	structural information content (neighborhood symmetry of 2-order)
CIC2	complementary information content (neighborhood symmetry of 2-order)
BIC2	bond information content (neighborhood symmetry of 2-order)
IC3	information content index (neighborhood symmetry of 3-order)
TIC3	total information content index (neighborhood symmetry of 3-order)
SIC3	structural information content (neighborhood symmetry of 3-order)
CIC3	complementary information content (neighborhood symmetry of 3-order)
BIC3	bond information content (neighborhood symmetry of 3-order)
IC4	information content index (neighborhood symmetry of 4-order)
TIC4	total information content index (neighborhood symmetry of 4-order)
SIC4	structural information content (neighborhood symmetry of 4-order)
CIC4	complementary information content (neighborhood symmetry of 4-order)
BIC4	bond information content (neighborhood symmetry of 4-order)
IC5	information content index (neighborhood symmetry of 5-order)
TIC5	total information content index (neighborhood symmetry of 5-order)
SIC5	structural information content (neighborhood symmetry of 5-order)
CIC5	complementary information content (neighborhood symmetry of 5-order)
BIC5	bond information content (neighborhood symmetry of 5-order)
